codigo,nota
20230001,1
20230002,20
20230003,7
20230004,0
20230005,6
20230006,4
20230007,19
20230008,2
20230009,10
20230010,0
20230011,13
20230012,5
20230013,2
20230014,5
20230015,19
20230016,5
20230017,20
20230018,4
20230019,17
20230020,19
20230021,15
20230022,20
20230023,17
20230024,2
20230025,17
20230026,0
20230027,4
20230028,15
20230029,9
20230030,16
20230031,13
20230032,7
20230033,19
20230034,12
20230035,4
20230036,14
20230037,13
20230038,15
20230039,13
20230040,13
20230041,12
20230042,20
20230043,4
20230044,4
20230045,1
20230046,15
20230047,0
20230048,2
20230049,20
20230050,1
20230051,3
20230052,6
20230053,14
20230054,7
20230055,7
20230056,15
20230057,4
20230058,1
20230059,5
20230060,13
20230061,8
20230062,16
20230063,4
20230064,6
20230065,8
20230066,4
20230067,12
20230068,20
20230069,13
20230070,7
20230071,18
20230072,8
20230073,10
20230074,5
20230075,12
20230076,4
20230077,16
20230078,0
20230079,9
20230080,13
20230081,0
20230082,19
20230083,8
20230084,9
20230085,6
20230086,11
20230087,14
20230088,7
20230089,9
20230090,18
20230091,5
20230092,3
20230093,20
20230094,1
20230095,2
20230096,9
20230097,11
20230098,6
20230099,6
20230100,3
